Tag,Count
"('highway', 'footway')",1790
"('surface', 'asphalt')",1452
"('footway', 'sidewalk')",929
"('footway', 'crossing')",739
"('oneway', 'yes')",716
"('highway', 'residential')",532
"('highway', 'service')",477
"('lanes', '2')",413
"('highway', 'tertiary')",309
"('lit', 'yes')",302
"('crossing', 'marked')",278
"('crossing', 'traffic_signals')",276
"('highway', 'primary')",260
"('crossing', 'uncontrolled')",179
"('lanes', '3')",142
"('service', 'alley')",134
"('motor_vehicle:conditional', 'no @ (Fr 19:00-23:59; Sa-Su 00:00-23:59)')",124
"('crossing:markings', 'yes')",117
"('name', 'Phố Minh Khai')",116
"('vehicle:conditional', 'no @ (Jan 1 00:00-23:59)')",113
"('oneway:motorcycle', 'no')",95
"('oneway:moped', 'no')",95
"('oneway:bicycle', 'no')",95
"('bicycle', 'yes')",88
"('name:zh', '大瞿越路')",86
"('name', 'Đường Đại Cồ Việt')",86
"('name:en', 'Dai Co Viet Road')",86
"('highway', 'secondary')",83
"('name', 'Phố Quang Trung')",82
"('name', 'Phố Nguyễn Đình Chiểu')",78
"('name:en', 'Nguyen Dinh Chieu Street')",78
"('lanes', '1')",78
"('cycleway', 'no')",78
"('oneway:mofa', 'no')",74
"('name:en', 'Nha Chung Street')",71
"('name', 'Phố Nhà Chung')",71
"('name:zh', '钟楼街')",71
"('surface', 'paving_stones')",70
"('surface', 'concrete:plates')",67
"('surface', 'concrete')",67
"('name', 'Phố Lê Thái Tổ')",65
"('highway', 'primary_link')",61
"('crossing:markings', 'zebra')",61
"('motorcycle', 'yes')",60
"('oneway', 'no')",56
"('name:en', 'Le Thai To Street')",55
"('name:zh', '黎太祖街')",55
"('name', 'Đường Trần Khát Chân')",54
"('note', 'Tổ chức giao thông một chiều cho các phương tiện ô tô trên phố Nguyễn Đình Chiểu theo đoạn và chiều từ Tô Hiến Thành đi đến Đại Cồ Việt. Thời gian thí điểm: 13/01/2024 - 30/4/2024.')",53
