Tag,Count,Key,Value
"('name', 'Ngõ 84 Phố Võ Thị Sáu')",3,name,Ngõ 84 Phố Võ Thị Sáu
"('name', 'Ngõ 96 Lò Đúc')",3,name,Ngõ 96 Lò Đúc
"('name:id', 'Jalan Trang Tien')",3,name:id,Jalan Trang Tien
"('name:vi', 'Phố Lê Lai')",3,name:vi,Phố Lê Lai
"('name', 'Phố Hoà Mã')",3,name,Phố Hoà Mã
"('name', 'Ngõ 433 Bạch Mai')",3,name,Ngõ 433 Bạch Mai
"('name', 'Ngõ 506 Bạch Mai')",3,name,Ngõ 506 Bạch Mai
"('name:zh', '丁礼街')",3,name:zh,丁礼街
"('name:zh', '陈元扞街')",3,name:zh,陈元扞街
"('name:zh', '场钱街')",3,name:zh,场钱街
"('name', 'Ngõ 37 Hồng Mai')",3,name,Ngõ 37 Hồng Mai
"('amenity', 'parking')",3,amenity,parking
"('name', 'Ngõ 281 Trần Khát Chân')",3,name,Ngõ 281 Trần Khát Chân
"('name', 'Ngõ 269')",3,name,Ngõ 269
"('name', 'Phố Lê Lai')",3,name,Phố Lê Lai
"('name', 'Cầu vượt Ô Đông Mác')",3,name,Cầu vượt Ô Đông Mác
"('name:id', 'Jalan Dinh Le')",3,name:id,Jalan Dinh Le
"('name', 'Phố Trần Nguyên Hãn')",3,name,Phố Trần Nguyên Hãn
"('man_made', 'bridge')",3,man_made,bridge
"('name', 'Ngách 121/3 Kim Ngưu')",3,name,Ngách 121/3 Kim Ngưu
"('name:en', 'Dinh Le Street')",3,name:en,Dinh Le Street
"('name:zh', '黎莱街')",3,name:zh,黎莱街
"('name', 'Ngõ 100 Nguyễn Văn Viên')",3,name,Ngõ 100 Nguyễn Văn Viên
"('name', 'Phố Đinh Lễ')",3,name,Phố Đinh Lễ
"('name', 'Phố Tô Hiến Thành')",3,name,Phố Tô Hiến Thành
"('name', 'Phố Tuệ Tĩnh')",3,name,Phố Tuệ Tĩnh
"('name:en', 'Le Lai Street')",3,name:en,Le Lai Street
"('name:en', 'To Hien Thanh Street')",3,name:en,To Hien Thanh Street
"('name', 'Phố Tràng Tiền')",3,name,Phố Tràng Tiền
"('sidewalk', 'both')",3,sidewalk,both
"('name:en', 'Tran Nguyen Han Street')",3,name:en,Tran Nguyen Han Street
"('name', 'Phố Phạm Đình Hổ')",3,name,Phố Phạm Đình Hổ
"('name', 'Ngõ 121 Kim Ngưu')",3,name,Ngõ 121 Kim Ngưu
"('name:en', 'Trang Tien Street')",3,name:en,Trang Tien Street
"('name:en', 'Tue Tinh Street')",3,name:en,Tue Tinh Street
"('name', 'Ngõ 150 Phố Lò Đúc')",3,name,Ngõ 150 Phố Lò Đúc
"('maxspeed', '40')",3,maxspeed,40
"('wikidata', 'Q10771964')",2,wikidata,Q10771964
"('maxheight', '4.75')",2,maxheight,4.75
"('wikipedia', 'vi:Phố Hồ Hoàn Kiếm')",2,wikipedia,vi:Phố Hồ Hoàn Kiếm
"('name', 'Ngõ 19 Nguyễn Công Trứ')",2,name,Ngõ 19 Nguyễn Công Trứ
"('name:zh', '炉炷街')",2,name:zh,炉炷街
"('name', 'Ngõ 19 Lạc Trung')",2,name,Ngõ 19 Lạc Trung
"('name', 'Ngõ 15 Tạ Quang Bửu')",2,name,Ngõ 15 Tạ Quang Bửu
"('name', 'Phố Nguyễn Xí')",2,name,Phố Nguyễn Xí
"('name', 'Ngõ 132 Phố Lò Đúc')",2,name,Ngõ 132 Phố Lò Đúc
"('name', 'Phố Ngô Quyền')",2,name,Phố Ngô Quyền
"('name', 'Ngõ 159')",2,name,Ngõ 159
"('name', 'Ngõ 108 Phố Lò Đúc')",2,name,Ngõ 108 Phố Lò Đúc
"('name', 'Phố Thợ Nhuộm')",2,name,Phố Thợ Nhuộm
"('name', 'Phố Hồ Hoàn Kiếm')",2,name,Phố Hồ Hoàn Kiếm
"('name', 'Ngõ 16 phố Tạ Quang Bửu')",2,name,Ngõ 16 phố Tạ Quang Bửu
"('name', 'Phố Trần Xuân Soạn')",2,name,Phố Trần Xuân Soạn
"('name', 'Ngõ 19 Phố Hồng Mai')",2,name,Ngõ 19 Phố Hồng Mai
"('name', 'Phố Lò Sũ')",2,name,Phố Lò Sũ
"('name:zh', '吴权街')",2,name:zh,吴权街
"('name', 'Ngõ 216')",2,name,Ngõ 216
"('name:en', 'Tran Xuan Soan Street')",2,name:en,Tran Xuan Soan Street
"('name', 'Ngõ 27 Tạ Quang Bửu')",2,name,Ngõ 27 Tạ Quang Bửu
"('name:en', 'Ngo Quyen Street')",2,name:en,Ngo Quyen Street
"('name:en', 'Lo Su Street')",2,name:en,Lo Su Street
"('alt_name:vi', 'Phố Bảo Khánh')",1,alt_name:vi,Phố Bảo Khánh
"('amenity', 'school')",1,amenity,school
"('name', 'Ngõ 203 Phố Kim Ngưu')",1,name,Ngõ 203 Phố Kim Ngưu
"('name', 'Phố Hồ Xuân Hương')",1,name,Phố Hồ Xuân Hương
"('name', 'Ngõ 29 Hồng Mai')",1,name,Ngõ 29 Hồng Mai
"('name', 'Ngõ 325 Kim Ngưu')",1,name,Ngõ 325 Kim Ngưu
"('alt_name', 'Phố Bảo Khánh')",1,alt_name,Phố Bảo Khánh
"('name', 'Ngõ 34 Kim Ngưu')",1,name,Ngõ 34 Kim Ngưu
"('name', 'Phố Huế')",1,name,Phố Huế
"('traffic_signals:direction', 'forward')",1,traffic_signals:direction,forward
"('name', 'Phố Báo Khánh')",1,name,Phố Báo Khánh
"('turn:lanes', 'left|left;through|through|through')",1,turn:lanes,left|left;through|through|through
"('name', 'Ngõ 18 Nguyễn Đình Chiểu')",1,name,Ngõ 18 Nguyễn Đình Chiểu
"('name', 'Ngõ 156 Kim Ngưu')",1,name,Ngõ 156 Kim Ngưu
"('name', 'Ngõ 61 Nguyễn Đình Chiểu')",1,name,Ngõ 61 Nguyễn Đình Chiểu
"('name', 'Ngõ 51 Nguyễn Đình Chiểu')",1,name,Ngõ 51 Nguyễn Đình Chiểu
"('name', 'Ngõ 424 Trần Khát Chân')",1,name,Ngõ 424 Trần Khát Chân
"('name', 'Ngõ Giếng Mứt')",1,name,Ngõ Giếng Mứt
"('name', 'Phố Ngô Văn Sở')",1,name,Phố Ngô Văn Sở
"('name', 'Phố Lương Văn Can')",1,name,Phố Lương Văn Can
"('name', 'Phố Lạc Trung')",1,name,Phố Lạc Trung
"('name:zh', '报庆街')",1,name:zh,报庆街
"('name:id', 'Jalan Bao Khanh')",1,name:id,Jalan Bao Khanh
"('name:en', 'Tran Quoc Toan Street')",1,name:en,Tran Quoc Toan Street
"('name:en', 'Ngo Van So Street')",1,name:en,Ngo Van So Street
"('name:en', 'Luong Van Can Street')",1,name:en,Luong Van Can Street
"('note', 'approximate from a passing photo')",1,note,approximate from a passing photo
"('name:en', 'Hue Street')",1,name:en,Hue Street
"('name:en', 'Ho Xuan Huong Street')",1,name:en,Ho Xuan Huong Street
"('name', 'Không gian Văn hoá Việt')",1,name,Không gian Văn hoá Việt
"('name', 'Ngách 1 Ngõ 203 Phố Kim Ngưu')",1,name,Ngách 1 Ngõ 203 Phố Kim Ngưu
"('old_name:fr', 'Voie № 222')",1,old_name:fr,Voie № 222
"('name:en', 'Bao Khanh Street')",1,name:en,Bao Khanh Street
"('landuse', 'religious')",1,landuse,religious
"('name', 'Ngách 295/75')",1,name,Ngách 295/75
"('name', 'Ngách 295/85')",1,name,Ngách 295/85
"('name', 'Ngách 90 Ngõ 13 Đường Lĩnh Nam')",1,name,Ngách 90 Ngõ 13 Đường Lĩnh Nam
"('name', 'Ngõ 1 Đồng Nhân')",1,name,Ngõ 1 Đồng Nhân
"('name', 'Trường Tiểu học Bạch Mai')",1,name,Trường Tiểu học Bạch Mai
"('religion', 'christian')",1,religion,christian
"('grades', '1-5')",1,grades,1-5
"('name', 'Phố Trần Quốc Toản')",1,name,Phố Trần Quốc Toản
"('name', 'Ngõ 110')",1,name,Ngõ 110
"('name:zh', '梁文玕街')",1,name:zh,梁文玕街
"('name', 'Phố Yec Xanh')",1,name,Phố Yec Xanh
