Tag,Count
"('highway', 'footway')",328
"('footway', 'sidewalk')",231
"('highway', 'residential')",208
"('surface', 'asphalt')",158
"('footway', 'crossing')",79
"('highway', 'service')",77
"('crossing:markings', 'zebra')",71
"('crossing', 'uncontrolled')",71
"('lanes', '4')",50
"('name', 'Đường Số 1 Times City')",40
"('highway', 'tertiary')",38
"('lanes', '2')",37
"('name', 'Đường Số 4')",31
"('oneway', 'yes')",26
"('name', 'Đường Số 7 Times City')",26
"('highway', 'steps')",16
"('junction', 'roundabout')",11
"('bridge', 'yes')",10
"('layer', '1')",10
"('name', 'Đường Số 1')",10
"('name', 'Đường Số 3 Times City')",10
"('crossing', 'unmarked')",8
"('building', 'yes')",8
"('access', 'private')",7
"('turn:lanes:forward', 'through|through;right')",5
"('turn:lanes:backward', 'left;through|through;right')",5
