lat,lon,ways,tags
1.26892,103.82114,"[188605138, 530127193]","[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'surface': 'dirt'}]"
1.26895,103.82115,"[188605138, 530127193]","[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'surface': 'dirt'}]"
1.26898,103.82119,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26903,103.82125,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.2691,103.82129,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26915,103.82136,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26916,103.82147,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26918,103.82153,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26923,103.82155,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.2696,103.82151,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26969,103.82153,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26975,103.82156,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26982,103.82159,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26993,103.82159,"[41665102, 54139147, 188605138, 749321777, 905995273]","[{'foot': 'yes', 'highway': 'footway', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'surface': 'paving_stones'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'footway': 'sidewalk', 'highway': 'footway'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}]"
1.26996,103.82159,"[41665102, 54139147, 188605138, 749321777, 905995273]","[{'foot': 'yes', 'highway': 'footway', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'surface': 'paving_stones'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'footway': 'sidewalk', 'highway': 'footway'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}]"
1.27001,103.8216,"[41665102, 54139147, 188605138, 635505965, 905995273]","[{'foot': 'yes', 'highway': 'footway', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'surface': 'paving_stones'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}]"
1.26993,103.82165,"[635505965, 749321777, 905995273]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}, {'footway': 'sidewalk', 'highway': 'footway'}, {'foot': 'yes', 'highway': 'footway', 'surface': 'paving_stones'}]"
1.26979,103.82168,"[22674908, 635505965, 644918630]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}, {'highway': 'service', 'service': 'parking_aisle', 'surface': 'asphalt'}]"
1.26943,103.82168,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26928,103.82169,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26921,103.82172,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26913,103.8218,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.2687,103.82238,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26846,103.8227,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26836,103.82278,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26816,103.82285,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26795,103.82292,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26782,103.823,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26767,103.82318,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26763,103.82335,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26762,103.8235,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26769,103.8238,[749321777],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26769,103.82416,"[309584585, 749321776, 749321777]","[{'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.26772,103.82424,"[309584585, 749321776, 749321777]","[{'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.26778,103.82434,"[176204635, 309584585, 749321776, 749321777, 862930913]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'sidewalk': 'right', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}, {'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}]"
1.26769,103.82427,[309584585],"[{'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}]"
1.26751,103.82407,"[309584585, 364599226]","[{'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'highway': 'steps', 'incline': 'down'}]"
1.26733,103.82394,"[364599226, 862932969]","[{'highway': 'steps', 'incline': 'down'}, {'highway': 'footway', 'incline': 'down'}]"
1.26728,103.82394,"[364599226, 862932969]","[{'highway': 'steps', 'incline': 'down'}, {'highway': 'footway', 'incline': 'down'}]"
1.26721,103.82392,"[54139144, 862932969]","[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Temenggong Road', 'name:zh': '天猛公路', 'surface': 'asphalt'}, {'highway': 'footway', 'incline': 'down'}]"
