lat,lon,ways,tags
1.45788,103.8432,"[736677867, 761969143, 1056632257]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'bicycle': 'designated', 'foot': 'designated', 'highway': 'cycleway', 'lit': 'yes', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'surface': 'grass'}]"
1.45771,103.84291,"[736677867, 761969143, 1056632257]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'bicycle': 'designated', 'foot': 'designated', 'highway': 'cycleway', 'lit': 'yes', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'surface': 'grass'}]"
1.45771,103.84291,"[736677867, 761969143, 1056632257]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'bicycle': 'designated', 'foot': 'designated', 'highway': 'cycleway', 'lit': 'yes', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'surface': 'grass'}]"
1.4569,103.84158,"[736677867, 761969143, 1056632257]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'bicycle': 'designated', 'foot': 'designated', 'highway': 'cycleway', 'lit': 'yes', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'surface': 'grass'}]"
1.45598,103.84009,"[736677867, 761969143, 1056632257]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'bicycle': 'designated', 'foot': 'designated', 'highway': 'cycleway', 'lit': 'yes', 'surface': 'asphalt'}, {'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'surface': 'grass'}]"
1.45538,103.83914,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.4551,103.83866,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.4551,103.83866,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45434,103.83739,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45306,103.83529,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45222,103.8339,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45202,103.83358,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45182,103.83333,[736677867],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}]"
1.45171,103.83324,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45165,103.83321,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.4519,103.8331,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45259,103.83279,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45268,103.83274,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45268,103.83274,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45285,103.83263,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45294,103.83251,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45296,103.83241,"[736677867, 1112643364]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'access': 'no', 'highway': 'cycleway', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道'}]"
1.45295,103.83227,"[643036866, 643036868]","[{'bridge': 'yes', 'highway': 'primary', 'lanes': '3', 'layer': '1', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}]"
1.453,103.8322,"[643036866, 643036868]","[{'bridge': 'yes', 'highway': 'primary', 'lanes': '3', 'layer': '1', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}]"
1.4532,103.83209,"[643036868, 1056768115]","[{'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'highway': 'footway'}]"
1.45335,103.83203,"[643036868, 736677867, 1056768115]","[{'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'bicycle': 'yes', 'foot': 'yes', 'highway': 'cycleway', 'lit': 'yes', 'name': 'Simpang Kiri Park Connector', 'name:zh': '新邦基里公园连道', 'segregated': 'no', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'highway': 'footway'}]"
1.45329,103.83192,"[22773795, 175840026, 175840055, 479156092, 643036867, 643036868, 736677866]","[{'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Admiralty Road East', 'name:zh': '海军部东路', 'oneway': 'yes', 'source': 'Yahoo aerial images', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Admiralty Road East', 'name:zh': '海军部东路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'Yahoo aerial images', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Sembawang Road', 'name:zh': '三巴旺路', 'oneway': 'yes', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Sembawang Road', 'name:zh': '三巴旺路', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'no', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '3', 'maxspeed': '60', 'name': 'Yishun Avenue 8', 'name:zh': '义顺8道', 'oneway': 'yes', 'surface': 'asphalt'}, {'highway': 'tertiary', 'lanes': '2', 'maxspeed': '60', 'name': 'Sembawang Road', 'oneway': 'yes', 'smoothness': 'excellent', 'surface': 'asphalt', 'turn:lanes': 'through|through;right'}]"
1.45319,103.83176,"[479156092, 736677868, 867590017]","[{'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Sembawang Road', 'name:zh': '三巴旺路', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'no', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '1', 'oneway': 'yes', 'surface': 'asphalt'}, {'footway': 'crossing', 'highway': 'footway'}]"
1.45319,103.83176,"[479156092, 736677868, 867590017]","[{'highway': 'primary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '60', 'name': 'Sembawang Road', 'name:zh': '三巴旺路', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'no', 'surface': 'asphalt'}, {'highway': 'primary', 'lanes': '1', 'oneway': 'yes', 'surface': 'asphalt'}, {'footway': 'crossing', 'highway': 'footway'}]"
