lat,lon,ways,tags
1.26957,103.82427,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26946,103.82414,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26938,103.8241,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26928,103.82412,"[368234825, 632189154, 640060626]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'service': 'driveway', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26928,103.82412,"[368234825, 632189154, 640060626]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'service': 'driveway', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26902,103.82424,[632189154],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26887,103.82428,"[632189154, 668576676]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'left;right'}]"
1.26857,103.8243,[749321776],"[{'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}]"
1.26825,103.82431,[749321776],"[{'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}]"
1.26798,103.82436,[749321776],"[{'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}]"
