Tag,Count
"('turn:lanes', 'through|through|right|right')",28
"('source', 'GPS')",28
"('name', 'Woodlands Avenue 1')",28
"('turn:lanes:backward', 'left;right')",28
"('name', 'Bukit Batok Central')",27
"('name:zh', '宏茂桥8道')",27
"('name', 'Tampines Avenue 7')",27
"('turn:lanes', 'through|through|through|through')",27
"('name', 'Ang Mo Kio Avenue 8')",27
"('lanes:bus', '2')",26
"('name:zh', '惹兰巴哈')",26
"('name', 'Jurong West Avenue 1')",26
"('name', 'Jalan Bahar')",26
"('name', 'Sungei Kadut Avenue')",25
"('name', 'Mountbatten Road')",25
"('wheelchair', 'yes')",25
"('name', 'Jalan Jurong Kechil')",25
"('crossing', 'traffic_signals')",25
"('name', 'Bukit Batok East Avenue 5')",25
"('maxheight', '4')",24
"('name', 'Commonwealth Avenue West')",24
"('name:zh', '联邦西道')",24
"('name', 'Bukit Batok Avenue 1')",24
"('turn:lanes:backward', 'through;right')",24
"('junction', 'roundabout')",24
"('name', 'Dairy Farm Road')",24
"('name', 'Punggol Way')",24
"('name:zh', '榜鹅大道')",24
"('width', '2')",24
"('name:zh', '牛乳场路')",23
"('name', 'Yishun Avenue 11')",23
"('name:en', 'Sungei Kadut Avenue')",23
"('name', 'Pasir Ris Industrial Drive 1')",23
"('name', 'Bukit Batok East Avenue 2')",23
"('name', 'Bukit Batok East Avenue 6')",23
"('name:zh', '双溪加株道')",23
"('turn:lanes', 'left;through|through|through|right')",23
"('name', 'Hillview Avenue')",23
"('name:zh', '蔡厝港大道')",22
"('name', 'Choa Chu Kang Way')",22
"('incline', 'up')",22
"('name', 'Sims Avenue')",22
"('name:zh', '沈氏道')",22
"('turn:lanes', 'left|through|through|through')",22
"('name:zh', '武吉巴督东公园连道')",21
"('name', 'Bukit Batok East Park Connector')",21
"('name', 'Bukit Batok West Avenue 5')",21
"('name:zh', '秉德路')",21
"('name', 'Pender Road')",21
"('name:zh', '兀兰5道')",21
"('name', 'Woodlands Avenue 5')",21
"('turn:lanes:forward', 'left;through')",21
"('ramp', 'no')",21
"('turn:lanes', 'left|through|through')",21
"('name', 'Woodlands (Ave 7) Park Connector')",20
"('name:zh', '兀兰7道公园连道')",20
"('name', 'Jurong West Street 63')",20
"('turn:lanes', 'left;through|right')",20
"('lanes', '7')",20
"('name', 'Jurong East Street 11')",20
"('name:zh', '义顺1道')",20
"('name', 'Yishun Avenue 1')",20
"('name', 'Corporation Road')",20
"('fixme', 'resurvey')",20
"('name', 'Reservoir Road')",20
"('name', 'Loyang Avenue')",19
"('name', 'Buangkok Drive')",19
"('name', 'Choa Chu Kang North 7')",19
"('name:zh', '盛港东路')",19
"('name', 'Sengkang East Road')",19
"('name:zh', '金文泰4道')",19
"('turn:lanes', 'through|through|through;right')",19
"('name', 'Clementi Avenue 4')",19
"('name', 'Canberra Link')",19
"('leisure', 'park')",19
"('crossing', 'marked')",19
"('name:zh', '万国通道')",19
"('name:zh', '山景公园连道')",19
"('name:zh', '坎贝拉连路')",19
"('name:zh', '蒙巴登路')",19
"('name', 'Hillview Park Connector')",19
"('turn:lanes', 'right|right')",18
"('name:zh', '南洋道')",18
"('name:zh', '南洋弯')",18
"('turn:lanes', 'through|right')",18
"('name', 'Nanyang Avenue')",18
"('addr:city', 'Singapore')",18
"('vehicle', 'no')",18
"('segregated', 'yes')",18
"('name', 'Nanyang Crescent')",18
"('name:zh', '罗央道')",18
"('name', 'Scotts Road')",18
"('turn:lanes', 'left|through|through|through|right|right')",17
"('name:zh', '三巴旺大道')",17
"('bus', 'no')",17
"('name', 'Sembawang Way')",17
"('incline', 'down')",17
"('amenity', 'parking')",17
"('name:zh', '联邦道')",16
"('name:zh', '亚历山大路')",16
"('name', 'Marsiling Lane')",16
"('name', 'Canberra Street')",16
"('name:zh-Hant', '余東旋街')",16
"('name', 'Alexandra Road')",16
"('name', 'Commonwealth Avenue')",16
"('name:zh', '金文泰路')",16
"('foot', 'use_sidepath')",16
"('name:zh-Hans', '余东旋街')",16
"('name', 'Clementi Road')",16
"('name:en', 'Eu Tong Sen Street')",16
"('bicycle', 'permissive')",16
"('name:zh', '史各士路')",16
"('name', 'Eu Tong Sen Street')",16
"('name', 'Kheam Hock Road')",16
"('name:zh', '谦福路')",16
"('parking:lane:left', 'parallel')",16
"('name', 'Pang Sua Park Connector')",16
"('name:zh', '盘沙公园连道')",16
"('turn:lanes', 'through|through;right|right')",15
"('bicycle', 'dismount')",15
"('highway', 'trunk')",15
"('access', 'no')",15
"('name', 'Yishun Central')",15
"('turn:lanes', 'through|through|through|through|right')",15
