Tag,Count
"('name:zh', '盘沙公园连道')",36
"('name', 'Pang Sua Park Connector')",36
"('landuse', 'grass')",36
"('name', 'Leedon Road')",36
"('name', 'Upper Changi Road North')",34
"('incline', 'up')",34
"('turn:lanes', 'through|through|through|right|right')",34
"('name', 'Paya Lebar Road')",33
"('turn:lanes', 'left;through|through;right')",33
"('name:zh', '巴耶利峇路')",33
"('highway', 'tertiary_link')",33
"('turn:lanes', 'left|left')",32
"('name', 'Fidelio Street')",32
"('name:zh', '乔治太子园')",31
"('name', 'Neil Road')",31
"('name', 'Pasir Ris Drive 8')",31
"('access', 'no')",31
"('name', ""Prince George's Park"")",31
"('name:zh', '尼路')",31
"('turn:lanes', 'left|through|through|through')",31
"('name', 'North Bridge Road')",31
"('name', 'Upper Thomson Road')",30
"('name:zh', '汤申路上段')",30
"('name', 'Jurong Town Hall Road')",30
"('name:zh', '裕廊镇大会堂路')",30
"('name:zh', '南洋弯')",30
"('name', 'Tampines Central 1')",30
"('name', 'Nanyang Crescent')",30
"('name:zh', '杨厝港路')",30
"('lanes:forward', '2')",29
"('name:en', 'Neil Road')",29
"('name', 'Henderson Road')",29
"('name:zh', '巴西立8通道')",29
"('name:zh', '古鲁尼路')",29
"('name', 'Cluny Road')",29
"('name:zh', '南波那维斯达路')",29
"('name', 'South Buona Vista Road')",29
"('cycleway:left', 'lane')",28
"('leisure', 'park_connector')",28
"('name', 'Boon Lay Avenue')",28
"('name:zh', '罗央道')",28
"('name', 'Holland Road')",28
"('construction', 'primary')",28
"('turn:lanes', 'through|through|through;right|right')",28
"('turn:lanes', 'left|through|through|through|right')",28
"('name', 'One-North Avenue')",27
"('name', 'Tampines Avenue 4')",27
"('name', 'Tampines Avenue 12')",27
"('turn:lanes', 'left|through|through')",27
"('handrail', 'yes')",26
"('lanes:backward', '2')",26
"('foot', 'use_sidepath')",26
"('name', 'Kallang Riverside Park')",26
"('turn:lanes', 'through|through;right|right')",25
"('name', 'Loyang Way')",25
"('maxheight', '4')",25
"('name:zh', '淡滨尼12道')",25
"('width', '3 m')",25
"('name:zh', '万礼公园连道')",25
"('name', 'Mandai Park Connector')",25
"('name', 'Old Upper Thomson Road Park Connector')",25
"('name:zh', '旧汤申鲁上段公园连道')",25
"('incline', 'down')",25
"('sidewalk:both', 'separate')",24
"('name', 'Kensington Park Road')",24
"('source', 'GPS')",24
"('sidewalk:right', 'separate')",24
"('bus', 'yes')",24
"('name', 'Siglap Hill')",23
"('bicycle', 'no')",23
"('parking:condition:right:vehicles', 'motorcar')",23
"('turn:lanes', 'left;through|through|through|through')",23
"('highway', 'trunk_link')",23
"('name', 'Mount Faber Loop')",23
"('name:zh', '花柏山环道')",23
"('name', 'Jurong East Avenue 1')",23
"('name', 'Alexandra Road')",22
"('name:zh', '荷兰路')",22
"('name:zh', '甘榜峇鲁路')",22
"('name:zh', '亚历山大路')",22
"('highway', 'pedestrian')",22
"('name', 'South Bridge Road')",21
"('turn:lanes', 'right|right')",21
"('name', 'Jalan Boon Lay')",21
"('name:zh', '惹兰文礼')",21
"('name', 'Guillemard Road')",21
"('name', 'Stadium Boulevard')",20
"('sidewalk:left', 'yes')",20
"('name:en', 'Kallang Riverside Park')",20
"('turn:lanes', 'left|through|through|right')",20
"('name:zh-Hans', '加冷河滨公园')",20
"('name:zh-Hant', '加冷河濱公園')",20
"('name', 'Buangkok Drive')",19
"('name', 'Mandai Avenue')",19
"('name:zh', '秉德路')",19
"('name', 'Ubi Avenue 2')",19
"('parking:condition:left:vehicles', 'motorcar')",19
"('name:zh', '罗央大道')",19
"('name', 'Bedok North Avenue 1')",19
"('amenity', 'parking')",19
"('name:zh', '万礼大道')",19
"('name', 'Pender Road')",19
"('turn:lanes', 'through|through|through;right')",18
"('name', 'Commonwealth Avenue')",18
"('name:zh', '联邦道')",18
"('name:zh', '基里玛路')",18
"('name:en', 'Cluny Road')",18
"('turn:lanes', 'left|right')",18
"('name:zh', '麦波申路')",18
"('name:zh', '万国通道')",18
"('name', 'MacPherson Road')",18
"('turn:lanes', 'through|right')",17
"('name:en', 'Evans Road')",17
"('building', 'yes')",17
"('motor_vehicle', 'permit')",17
"('name', 'Tampines Avenue 5')",17
"('name:zh', '南洋道')",17
"('turn:lanes', 'through|through|right|right')",17
"('name', 'Evans Road')",17
"('name:zh', '淡滨尼5道')",17
"('name', 'Nanyang Avenue')",17
"('name:zh', '爱文士路')",17
"('turn:lanes', 'left;right')",17
"('name', 'Simei Road')",17
"('highway', 'trunk')",16
"('name:zh', '四美道')",16
"('addr:city', 'Singapore')",16
"('name', 'Simei Avenue')",16
"('covered', 'no')",16
"('note', 'GPS')",15
"('crossing', 'traffic_signals')",15
"('width', '1.2')",15
"('name', 'Loewen Road')",14
"('name:zh', '锦绣小径')",14
"('area', 'yes')",14
"('name', 'Stadium Road')",14
"('turn:lanes', 'through;right')",14
"('name', 'Floral Walk')",14
"('name', 'Tampines Central 2')",14
"('turn:lanes', 'left|through|through|through|right|right')",14
"('name:en', 'Upper Changi Road North')",14
"('turn:lanes', 'through|through|through|through;right|right')",14
"('name', 'Jurong East Central')",14
"('name', 'Minden Road')",14
"('name:zh', '樟宜北路上段')",14
"('turn:lanes', 'left;through|through|through|through;right')",14
"('leisure', 'park')",14
"('turn:lanes', 'left|right|right')",14
