lat,lon,nodes,distance
1.27225,103.81373,"[26782011, 1867272208]",0.247562
1.27223,103.81369,"[1867272208, 5148627497]",0.110568
1.27222,103.81364,"[1867272208, 5148627497]",0.331703
1.27229,103.81345,"[1101782207, 26782283]",3.535738
1.27247,103.81299,"[1101782207, 26782283]",4.131487
1.27247,103.81299,"[1101782207, 26782283]",4.131487
1.27257,103.81271,"[26782283, 1101782059]",5.308421
1.27255,103.8126,"[1101782059, 26782354]",4.898267
1.27251,103.81254,"[26782354, 1867272218]",4.162447
1.2724,103.81246,"[1867272218, 1101782314]",3.432233
1.27223,103.81241,"[26782052, 1101782188]",2.225867
1.2721,103.81242,"[26782052, 1101782188]",0.78686
1.27195,103.81247,"[1101782188, 1380449998]",3.230966
1.27179,103.81262,"[1380449998, 26782113]",6.388163
1.27114,103.81371,"[1380449996, 7936641680]",5.508706
1.27066,103.81449,"[7936774334, 26782259]",2.888721
1.27007,103.81419,"[8005896151, 7936644786]",1.144078
1.26975,103.81401,"[8008524466, 8008524465]",0.400471
1.26947,103.81385,"[8008524466, 5277933635]",2.184425
1.26953,103.81375,"[8008524466, 5277933635]",2.642605
1.26998,103.81307,"[11343510042, 4289740789]",2.090043
1.27017,103.81277,"[5278154772, 4748055868]",0.111293
1.27063,103.8121,"[1367043502, 1380358563]",2.527613
1.27083,103.8117,"[1367043503, 1380358563]",2.180297
1.27096,103.81131,"[472735519, 247183786]",2.60323
1.27099,103.81119,"[1101782130, 247183786]",1.512902
1.27155,103.81129,"[1864054683, 1864054681]",0.784402
1.27201,103.81147,"[6968304370, 6968304369]",3.583357
1.27232,103.81164,"[4712115334, 4712115331]",3.023172
1.27252,103.81177,"[6968220964, 597109184]",0.399465
1.27264,103.81185,"[4712120098, 4712120096]",1.43878
1.27291,103.81208,"[7050896784, 6968220965]",1.491914
1.27291,103.81208,"[7050896784, 6968220965]",1.491914
1.27328,103.81243,"[6978469329, 7050896784]",2.118824
1.2735,103.81278,"[6978469328, 6978469327]",2.982423
1.27362,103.81298,"[4712120099, 5131953400]",2.371995
1.27406,103.81355,"[6978469327, 6978469326]",0.15688
1.27428,103.81383,"[6978469326, 6978469325]",1.022223
1.27434,103.81391,"[6978469326, 6978469325]",1.731778
1.27463,103.81424,"[5131953399, 1864383343]",1.492938
1.2748,103.81437,"[1864383351, 1864383343]",0.567345
1.27513,103.81461,"[4459074393, 4459074392]",1.649623
1.27535,103.81475,"[1864383369, 1864383372]",2.305799
1.2757,103.81498,"[6968084043, 6978475145]",0.955277
1.27674,103.8157,"[1864383375, 247183796]",3.203766
1.27695,103.81584,"[1864383375, 247183796]",3.511987
1.27715,103.81597,"[4598923500, 1864383375]",3.335229
1.27737,103.81599,"[4598923503, 4598923502]",1.702035
1.27746,103.81599,"[4598923504, 10234919071]",0.567345
1.27751,103.81597,"[4598923505, 4598923504]",0.111293
1.27773,103.81575,"[4598923511, 6038291140]",0.456059
1.27811,103.81458,"[247048630, 681254220]",4.793571
1.27811,103.81458,"[247048630, 681254220]",4.793571
1.27823,103.81419,"[681254220, 247048631]",3.783724
1.27824,103.81403,"[247048631, 5148649609]",3.765889
1.27821,103.8139,"[5148649609, 247048632]",3.997399
1.27816,103.81379,"[247048632, 5148649610]",3.723041
1.27799,103.81358,"[5152676871, 1992298027]",0.555163
1.27787,103.81363,"[5152676871, 1992298027]",2.249192
1.27778,103.81369,"[3212392446, 5152676871]",2.310854
1.27769,103.81378,"[3212392447, 3212392446]",0.798929
1.27747,103.81409,"[5262985818, 3212392447]",2.615532
1.27747,103.81409,"[5262985818, 3212392447]",2.615532
1.27736,103.8143,"[3212392449, 3212392456]",0.595966
1.27732,103.81445,"[5152676870, 3212392449]",2.129877
1.27728,103.81453,"[5152676866, 5152676867]",3.201885
1.27726,103.81454,"[5152676866, 5152676867]",3.449065
1.27725,103.81452,"[5152676863, 5152676866]",1.02576
1.27719,103.81437,"[5152676861, 3212392452]",1.890112
1.27715,103.81432,"[5152676861, 3212392452]",3.377431
1.27713,103.81434,"[3212392453, 5152676861]",0.497072
1.27712,103.81436,"[3212392420, 5152676857]",0.779053
1.27716,103.81439,"[3212392422, 3212392421]",0.110568
1.27719,103.81446,"[5152676862, 5152676863]",1.854539
1.2772,103.81454,"[3212392423, 3212392422]",2.214155
1.27719,103.81476,"[3212392425, 3212392424]",1.475649
1.27712,103.81487,"[5152676853, 3212392426]",0.248536
1.27702,103.81489,"[5152676852, 3212392427]",3.494105
1.27692,103.81487,"[5152676854, 5152676852]",5.02769
1.27678,103.81479,"[3212392431, 3212392430]",2.527582
1.27669,103.81467,"[3212392433, 3212392432]",0.247562
1.27665,103.81453,"[3212392434, 3212392433]",0.781935
1.27664,103.81447,"[3212392434, 3212392433]",0.672677
1.27664,103.81447,"[3212392434, 3212392433]",0.672677
1.27665,103.81435,"[3212392436, 3212392435]",0.56393
1.2767,103.81423,"[3212392437, 3212392436]",1.648598
1.27691,103.81404,"[3212392438, 3212392437]",3.797482
1.27723,103.81381,"[3212392439, 10855917122]",3.450532
1.2775,103.81363,"[681254194, 6748797692]",3.173085
1.2775,103.81363,"[681254194, 6748797692]",3.173085
1.27786,103.81336,"[3212392443, 681254192]",2.887978
1.278,103.81311,"[6752012275, 1992298029]",2.228062
