lat,lon,nodes,distance
1.34096,103.81995,"[3337803816, 661041621]",3.226143
1.34066,103.81966,"[661041621, 661041620]",4.792119
1.34061,103.8196,"[661041621, 661041620]",5.971689
1.34049,103.81944,"[661041621, 661041620]",10.293797
1.34037,103.81934,"[661041621, 661041620]",9.584239
1.34005,103.81909,"[661041621, 661041620]",6.285035
1.33921,103.81842,"[661041621, 661041620]",1.023235
1.33851,103.81785,"[661041620, 661041619]",4.718852
1.33802,103.81748,"[3205660950, 661041618]",5.912087
1.33806,103.81746,"[3205660950, 661041618]",4.889017
1.33814,103.81736,"[661041630, 661041618]",6.903428
1.33818,103.81728,"[661041630, 661041618]",9.806216
1.33828,103.81725,"[661041630, 661041618]",4.000667
1.33833,103.81722,"[3205660951, 661041630]",2.061396
1.33847,103.81702,"[3205660951, 661041630]",2.770719
1.33853,103.81691,"[3205660951, 661041774]",5.810947
1.33863,103.81681,"[3205660951, 661041774]",4.94575
1.33883,103.81659,"[3205660951, 661041774]",4.632371
1.33895,103.81646,"[661041774, 1125371451]",4.405118
1.339,103.81647,"[661041774, 1125371451]",1.834761
1.33931,103.8166,"[1125373080, 661041773]",5.744359
1.33938,103.81661,"[1125373080, 661041773]",5.618125
1.33948,103.81659,"[661041773, 1125375763]",5.478681
1.33956,103.81653,"[1125375763, 1125370198]",4.134766
1.33978,103.81633,"[1125370198, 1125373831]",2.515979
1.33985,103.81624,"[1125373831, 1125376005]",2.859741
1.33989,103.81614,"[1125373831, 1125376005]",0.156879
1.34009,103.81585,"[661041772, 1125374276]",2.859741
1.34023,103.81557,"[1125374276, 661041771]",2.13726
1.34031,103.81524,"[661041771, 1125371371]",3.192412
1.34041,103.81518,"[1125371371, 661041770]",2.747011
1.34045,103.81512,"[1125371371, 661041770]",0.941273
1.34053,103.81497,"[661041770, 1125376871]",1.937505
1.34059,103.81488,"[5159344227, 5159344229]",1.733802
1.34061,103.81487,"[5159344227, 5159344229]",1.179713
1.34073,103.81488,"[5159344228, 661041769]",6.46528
1.34096,103.8149,"[661041769, 661041768]",4.957599
1.34127,103.81492,"[661041769, 661041768]",1.68395
1.34169,103.81492,"[661041767, 5159344230]",0.222582
1.34184,103.81496,"[1125370077, 661041766]",3.805035
1.34198,103.81493,"[1125370077, 661041766]",2.470772
1.34233,103.81488,"[661041765, 3337729365]",2.927174
1.34272,103.81484,"[1125375108, 661041765]",3.563032
1.34294,103.81487,"[5159344231, 1125375108]",5.287635
1.34308,103.81495,"[1125373717, 661041764]",5.045189
1.34333,103.81513,"[3337729379, 1125373717]",3.928838
1.34358,103.81523,"[661041763, 3337729379]",3.885911
1.34374,103.81526,"[3337729380, 1125370347]",4.610911
1.34391,103.81521,"[661041762, 3337729380]",4.374184
1.34408,103.81509,"[1125371699, 661041762]",5.5757
1.34423,103.81491,"[5159344226, 1125371699]",7.315113
1.34434,103.81465,"[1125377547, 661041761]",4.319317
1.34436,103.81452,"[661041760, 1125377547]",3.986661
1.34436,103.81425,"[1125374846, 661041760]",3.206467
1.34431,103.81378,"[3337702861, 661041759]",3.103891
1.34435,103.81348,"[1125372807, 3337702861]",3.40729
1.34442,103.81318,"[3337702862, 1125372807]",1.504739
1.34445,103.81311,"[5159344232, 3337702862]",2.129868
1.34452,103.81306,"[3337702863, 5159344232]",5.736941
1.34464,103.81302,"[3337702864, 661041758]",4.817346
1.34531,103.81296,"[661041756, 5159344233]",3.568175
1.34542,103.81298,"[3337702865, 661041756]",4.630683
1.34568,103.81313,"[5159344234, 3337702866]",2.078125
1.34578,103.81313,"[5159344237, 661041755]",1.758527
1.3459,103.81307,"[5159344237, 661041755]",0.111291
1.34609,103.81302,"[5159344237, 661041755]",1.653249
1.34626,103.81294,"[5159344235, 5159344237]",0.676839
1.34642,103.8129,"[661041754, 5159344235]",0.248532
1.34654,103.81282,"[661041753, 5159344236]",0.156879
1.3467,103.81264,"[661041752, 661041753]",0.627515
1.34683,103.81249,"[661041752, 661041753]",1.178692
1.347,103.81231,"[661041752, 661041753]",0.709791
1.34712,103.81222,"[1125372770, 661041752]",1.882546
1.34723,103.81209,"[1125372770, 661041752]",0.313758
1.34731,103.81198,"[661041751, 1125372770]",0.892865
1.34739,103.81181,"[1125466224, 661041751]",1.045016
1.34749,103.81163,"[661041750, 1125466224]",0.247562
1.34757,103.81151,"[5159344225, 661041750]",1.237808
1.34761,103.81136,"[5159344222, 661041749]",1.387494
1.34769,103.81131,"[5159342320, 5159344224]",0.497064
1.34783,103.81114,"[1628372010, 1628372011]",1.198387
1.34804,103.81085,"[1628372011, 661041748]",2.925806
1.34809,103.81072,"[1628372011, 661041748]",0.742685
1.34822,103.81047,"[1125465589, 661041747]",0.399462
1.34847,103.81003,"[1125465105, 661041746]",1.685833
1.34875,103.8094,"[1125465105, 661041746]",0.495123
1.34887,103.80918,"[661041746, 1125464625]",1.980492
1.34896,103.80896,"[661041746, 1125464625]",0.247562
1.34911,103.80867,"[1125464625, 661041745]",1.419581
1.34927,103.80846,"[1125464625, 661041745]",1.817866
1.34935,103.80833,"[661041745, 5570471594]",0.990246
1.34974,103.80753,"[661034414, 3337684686]",1.662432
1.35019,103.80721,"[1628372013, 661034413]",2.465538
1.35033,103.8071,"[4000257106, 1628372013]",0.64781
1.35084,103.80682,"[4000257106, 661034412]",0.111289
1.35105,103.80671,"[661034412, 3337684687]",2.803218
1.35127,103.80651,"[3337684687, 3337684690]",0.800919
1.35123,103.8064,"[5159344283, 3337684688]",5.324395
1.35125,103.80637,"[5159344283, 3337684688]",1.592962
1.35129,103.80634,"[5159344283, 3337684688]",2.48798
1.35136,103.80634,"[5159344277, 3337684691]",0.667733
1.35141,103.80635,"[5159344278, 5159344279]",0.40046
1.35144,103.80636,"[1125464726, 661034411]",1.022206
1.35144,103.80641,"[5159344286, 1125464726]",2.513916
1.35138,103.80648,"[3337684690, 5159344286]",4.004596
1.35133,103.80651,"[3337684687, 3337684690]",3.398117
1.35127,103.80651,"[3337684687, 3337684690]",0.800919
1.35105,103.80671,"[661034412, 3337684687]",2.803218
1.35055,103.80696,"[4000257106, 661034412]",1.543537
1.3502,103.8072,"[1628372013, 661034413]",2.156356
1.34975,103.80752,"[661034414, 3337684686]",1.419581
1.34943,103.80816,"[5570471594, 661034414]",1.933019
1.34926,103.80848,"[1125464625, 661041745]",1.352562
1.34901,103.80884,"[661041746, 1125464625]",0.495123
1.3489,103.8091,"[661041746, 1125464625]",1.090145
1.34876,103.80937,"[1125465105, 661041746]",0.742685
1.34864,103.80967,"[1125465105, 661041746]",0.0
1.34852,103.80991,"[1125465105, 661041746]",1.787894
1.34836,103.81023,"[661041747, 1125465105]",1.29167
1.34824,103.81043,"[1125465589, 661041747]",1.045016
1.34812,103.81064,"[1628372011, 661041748]",0.645835
1.34807,103.81079,"[1628372011, 661041748]",2.678596
1.34773,103.81127,"[1628372010, 1628372011]",0.0
1.34763,103.81134,"[661041749, 5159344223]",1.445398
1.34759,103.81138,"[5159344222, 661041749]",0.399462
1.34758,103.81147,"[5159344225, 5159344221]",1.12786
1.34755,103.81154,"[5159344225, 661041750]",0.892865
1.34749,103.81162,"[661041750, 1125466224]",0.742685
1.3474,103.81178,"[1125466224, 661041751]",1.690785
1.34732,103.81194,"[661041751, 1125372770]",0.399462
1.34726,103.81205,"[661041751, 1125372770]",0.110568
1.34717,103.81217,"[1125372770, 661041752]",1.882546
1.34702,103.81229,"[1125372770, 661041752]",0.627515
1.34698,103.81234,"[661041752, 661041753]",0.110568
1.34686,103.81247,"[661041752, 661041753]",0.156879
1.34674,103.81259,"[661041752, 661041753]",1.022215
1.3466,103.81275,"[661041753, 5159344236]",0.554144
1.34652,103.81284,"[5159344236, 661041754]",0.248532
1.34636,103.81293,"[661041754, 5159344235]",0.809815
1.34622,103.81295,"[5159344237, 661041755]",0.809815
1.34616,103.81299,"[5159344237, 661041755]",1.161292
1.34598,103.81306,"[5159344237, 661041755]",1.758527
1.34586,103.81308,"[5159344237, 661041755]",0.598785
1.34572,103.81314,"[661041755, 5159344234]",2.225823
1.34566,103.81312,"[5159344234, 3337702866]",1.6408
1.3455,103.81302,"[3337702866, 3337702865]",3.797436
1.34534,103.81296,"[661041756, 5159344233]",3.679259
1.34506,103.81298,"[1125373984, 661041757]",3.465934
1.3446,103.81302,"[3337702864, 661041758]",4.362829
1.34454,103.81305,"[661041758, 3337702863]",6.156646
1.34449,103.81308,"[5159344232, 3337702862]",4.507235
1.34442,103.81316,"[3337702862, 1125372807]",0.912118
1.34438,103.81333,"[3337702862, 1125372807]",2.099254
1.34432,103.81372,"[3337702861, 661041759]",3.76589
1.34435,103.81414,"[1125374846, 661041760]",2.321925
1.34436,103.81446,"[661041760, 1125377547]",3.650436
1.34435,103.81462,"[1125377547, 661041761]",4.642616
1.34426,103.81485,"[5159344226, 1125371699]",6.669396
1.34418,103.81498,"[5159344226, 1125371699]",6.669396
1.34408,103.81508,"[1125371699, 661041762]",4.710001
1.34395,103.81519,"[661041762, 3337729380]",4.425587
1.34378,103.81525,"[3337729380, 1125370347]",4.280781
1.34362,103.81524,"[1125370347, 661041763]",4.280781
1.34342,103.81517,"[661041763, 3337729379]",3.036499
1.34328,103.8151,"[3337729379, 1125373717]",3.680496
1.34314,103.815,"[1125373717, 661041764]",5.045189
1.34299,103.81489,"[661041764, 5159344231]",4.772324
1.34279,103.81484,"[1125375108, 661041765]",3.785514
1.34241,103.81487,"[661041765, 3337729365]",3.384195
1.34185,103.81496,"[5159344230, 1125370077]",3.674271
1.34179,103.81495,"[5159344230, 1125370077]",3.244444
1.34158,103.81491,"[661041768, 661041767]",1.00162
1.34127,103.81492,"[661041769, 661041768]",1.68395
1.34105,103.81491,"[661041769, 661041768]",4.500806
1.34076,103.81488,"[661041769, 661041768]",6.311248
1.34063,103.81487,"[5159344229, 5159344228]",0.248532
1.3406,103.81487,"[5159344227, 5159344229]",1.89009
1.34058,103.81492,"[1125376871, 5159344227]",0.110568
1.34047,103.81509,"[1125371371, 661041770]",0.0
1.34042,103.81516,"[1125371371, 661041770]",1.963064
1.34032,103.81523,"[661041771, 1125371371]",2.416034
1.3403,103.81528,"[661041771, 1125371371]",3.085305
1.34024,103.81554,"[661041771, 1125371371]",2.173237
1.34012,103.81582,"[661041772, 1125374276]",2.061396
1.3399,103.8161,"[1125373831, 1125376005]",1.444353
1.33986,103.81621,"[1125373831, 1125376005]",1.906494
1.3398,103.81631,"[1125373831, 1125376005]",2.705125
1.33961,103.81649,"[1125375763, 1125370198]",3.239098
1.33951,103.81657,"[1125375763, 1125370198]",5.03049
1.33941,103.81661,"[661041773, 1125375763]",5.93729
1.33933,103.81661,"[1125373080, 661041773]",6.531141
1.33918,103.81655,"[1125371451, 1125373080]",3.02575
1.33901,103.81647,"[661041774, 1125371451]",1.484323
1.33895,103.81646,"[661041774, 1125371451]",4.405118
1.33865,103.81678,"[3205660951, 661041774]",5.497673
1.33851,103.81693,"[3205660951, 661041774]",6.050002
1.33842,103.81709,"[3205660951, 661041630]",2.615514
1.3383,103.81724,"[661041630, 661041618]",3.140474
1.33819,103.81727,"[661041630, 661041618]",9.729501
1.33815,103.81733,"[661041630, 661041618]",8.394781
1.33806,103.81745,"[3205660950, 661041618]",5.755905
1.33805,103.81746,"[3205660950, 661041618]",5.599761
1.33802,103.81748,"[3205660950, 661041618]",5.912087
1.33833,103.81771,"[661041619, 661041618]",6.829818
1.33839,103.81775,"[661041619, 661041618]",5.494022
1.34028,103.81927,"[661041621, 661041620]",8.644225
1.34049,103.81944,"[661041621, 661041620]",10.293797
1.34075,103.81976,"[661041621, 661041620]",3.29921
1.34101,103.81998,"[3337803816, 661041621]",4.405838
1.34114,103.82011,"[3337803819, 3337803816]",2.310824
1.34122,103.8202,"[3337803819, 3337803816]",0.555156
